Method,Trial,Best_Weighted_Sum,Final_Laser_Energy,Final_Pressure,Final_Acquisition_Time,Execution_Time,Seed
EDM_Adam_Cosine_Annealing,1,2396.46240234375,26.03358268737793,38.743717193603516,14.192769050598145,96.75827407836914,42
EDM_Adam_Cosine_Annealing,2,580.2178344726562,38.36308288574219,16.20270538330078,24.74836540222168,96.20322394371033,123
EDM_Adam_Cosine_Annealing,3,708.0601806640625,26.27878189086914,19.599990844726562,28.116662979125977,96.64179491996765,456
EDM_Adam_Cosine_Annealing,4,985.2540893554688,29.312082290649414,24.94663429260254,23.159605026245117,96.36523580551147,789
EDM_Adam_Cosine_Annealing,5,2319.142822265625,25.448801040649414,33.365074157714844,23.58026885986328,96.43642807006836,999
Bayesian_Optimization,1,2369.30224609375,27.851091315645665,30.0,21.757044182412958,37.850358963012695,42
Bayesian_Optimization,2,2284.341796875,23.088894249954222,30.0,10.0,39.570218563079834,123
Bayesian_Optimization,3,2289.945068359375,22.863250300666685,30.0,10.0,39.28605818748474,456
Bayesian_Optimization,4,2205.15087890625,25.057580935965305,29.850040418496697,12.87682407631348,38.39066123962402,789
Bayesian_Optimization,5,2434.01318359375,27.52824361351731,30.0,22.940332737049868,39.73720097541809,999
